Specimen: 1	Specimen: 1	Specimen: 2	Specimen: 2	Specimen: 3	Specimen: 3	Specimen: 4	Specimen: 4	Specimen: 5	Specimen: 5	Specimen: 6	Specimen: 6	Specimen: 7	Specimen: 7	Specimen: 8	Specimen: 8	Specimen: 9	Specimen: 9
Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample
nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN
625.3478081	47.7635084	617.9006642	46.99439	615.3114888	46.98972176	617.1690769	46.97975085	617.0372367	46.97976544	614.8273572	46.97015005	613.9209198	46.97022941	613.6019105	46.99966108	608.2549627	45.02900157
638.466707	49.72860518	631.455975	48.96434895	628.8405264	48.94987968	629.713033	48.93999115	631.0811035	48.93987875	628.0192005	48.93033717	627.1266164	48.94022197	627.583554	48.9597763	621.7755575	46.98915857
651.6825598	51.6838869	644.5382643	50.9147355	642.583953	50.91001902	643.3945252	50.87071247	643.711408	50.90011452	640.5103393	50.89058498	640.2652134	50.89060704	641.4095311	50.91990483	634.2666449	48.94940344
663.9130779	53.6441573	657.0079668	52.87988517	653.6795784	52.87038775	655.9791109	52.8603689	656.3689271	52.86034792	653.6705488	52.85077482	652.790791	52.85085132	652.3611464	52.88028293	647.8552868	50.90955278
677.08206	55.60924972	669.838276	54.84010002	666.2946526	54.82081819	668.5236711	54.82060876	669.295341	54.82055802	666.2964377	54.8110094	665.3321089	54.81109162	664.6659828	54.84054344	660.0425883	52.86982378
688.781806	57.5695661	681.2019473	56.80044231	679.0025665	56.79085388	681.260748	56.78083173	680.6590441	56.7809035	678.3406788	56.7712929	676.8206237	56.77142333	676.6903813	56.80082815	671.3251812	54.83017333
701.1960782	59.52491725	693.698345	58.76068596	690.5778734	58.75118104	692.319315	58.74120047	693.5853845	58.7411136	690.0385021	58.73160632	688.8304689	58.73170964	689.2669431	58.7610648	684.2268634	56.78057533
713.4841855	61.48518264	705.5019298	60.72098969	702.1596031	60.71150764	704.7130788	60.69654973	706.0821149	60.70136091	701.484574	60.69194162	700.8625112	60.69199396	700.3173996	60.721434	695.5529612	58.75072751
724.754796	63.45534283	717.4905085	62.68127728	714.2103179	62.67179359	715.5622715	62.66183981	717.140933	62.66173096	712.1223905	62.65234695	712.3444751	62.65232587	712.0519745	62.68174357	706.9792461	60.71106418
736.2843547	65.41077061	728.4402532	64.64165508	726.4494269	64.62225658	727.5950665	64.6074136	728.8688169	64.62204166	723.6365317	64.61267604	723.4004293	64.61269476	723.6588672	64.64206421	717.9286065	62.67144227
747.2582714	67.37605318	739.1079512	66.61186395	738.0764209	66.59238589	739.1385699	66.58244979	740.253875	66.58238202	735.2582133	66.5729957	734.4864739	66.57306085	734.3485166	66.60246442	730.1831188	64.63170681
758.6633435	69.33149173	750.6580729	68.56238272	749.0656592	68.5527638	750.2516662	68.53300662	751.662568	68.54272033	746.2107702	68.53337345	745.2576685	68.53345436	745.5752692	68.56281788	742.1378358	66.59199722
769.1732075	71.29681277	761.5411275	70.52766936	759.9415601	70.51315153	761.4356439	70.49826722	763.14151	70.50305239	757.5928655	70.49371374	755.8803895	70.49386066	757.1447793	70.52314144	753.1071855	68.55237326
780.7381442	73.25223412	772.1256383	72.48317524	770.8504216	72.47353476	771.8183765	72.45379075	773.8100574	72.46345475	768.6149271	72.45408523	767.2652091	72.44439388	767.8601605	72.48353917	763.7529012	70.50297069
791.1439674	75.21756277	782.3075354	74.44361936	781.5679605	74.44373976	783.0122466	74.41414694	784.5667854	74.42384942	778.2457161	74.41457759	777.0827231	74.41467669	778.4908936	74.44394419	774.7410223	72.47315158
801.4154774	77.17309636	792.9767081	76.404021	791.4711565	76.39440203	792.6244653	76.37464067	795.6017334	76.38421979	788.5742549	76.37500928	788.7165092	76.37499479	789.4866155	76.40431734	785.4485382	74.43355015
811.5900573	79.12373492	803.2693533	78.36445537	802.225035	78.35479712	803.0670927	78.33506204	805.9166536	78.34465273	798.879103	78.33544292	798.5725156	78.33546734	799.9652645	78.36473549	795.1506233	76.39403602
821.9145909	81.09887704	813.2913432	80.32981648	812.4245409	80.31524015	813.6655778	80.29056647	816.5162487	80.30506069	809.2312567	80.29587236	808.4003491	80.28613567	809.6157962	80.33503213	805.8200804	78.3544377
832.0792632	83.05932298	823.2216009	82.28047554	822.532229	82.27569121	823.5051455	82.25594349	826.3922359	82.2655316	819.832946	82.25627997	819.0116177	82.25634908	820.4441666	82.28561298	816.0181825	80.30507365
842.6993783	85.00501925	833.241124	84.25074004	832.424218	84.24596744	832.884567	84.2164572	836.2481203	84.22600411	830.3765215	84.21669257	828.8316965	84.21682457	830.048574	84.24610688	825.8573485	82.27535403
852.0980151	86.98024165	842.6239822	86.21125324	842.8753632	86.20638835	843.0309258	86.17690403	846.1871681	86.18646935	840.2746572	86.17716126	838.0981383	86.1773482	840.2940596	86.20654493	835.3391867	84.23585876
862.0087495	88.94070947	852.1463021	88.17175424	852.9449703	88.16684243	852.5877905	88.13740209	856.3764679	88.14691284	849.5754049	88.13768181	847.1601815	88.13788944	849.7714924	88.16704975	845.1487242	86.19633498
872.0512309	90.89135909	861.9824373	90.13713118	862.8589367	90.12731003	861.9047586	90.09792097	866.7421548	90.10734076	858.9822662	90.0981931	857.7941173	90.09829385	859.7121576	90.12751421	854.3042334	88.15686798
881.1870596	92.85189414	871.5348326	92.09762938	872.187524	92.07802167	870.7380131	92.05848192	875.852858	92.06787789	869.0639177	92.05864559	866.3225863	92.05888156	869.0011283	92.09784198	863.6605134	90.11738353
891.0564905	94.81236533	881.0950036	94.05322355	881.4058351	94.03854955	879.8218797	94.01902096	884.5978113	94.02844682	879.0464007	94.00929995	875.3566004	94.01942506	878.2524251	94.0485596	873.1157335	92.07789032
